"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Pakistan","24","31","17","1","120","0","18","22","0","0","233"
"Palestine, State of","7","15","4","0","16","2","2","12","0","0","58"
"Qatar","4","10","3","0","41","0","13","0","0","0","71"
"Saudi Arabia","10","19","3","0","73","1","59","5","0","0","170"
"Syrian Arab Republic","15","17","9","0","64","11","13","45","0","0","174"
"Tajikistan","8","14","7","0","7","0","3","20","1","0","60"
"Türkiye","18","21","20","12","147","47","43","136","8","0","453"
"Turkmenistan","8","18","6","0","14","1","6","6","0","0","59"
"United Arab Emirates","8","13","5","0","53","0","15","0","0","0","94"
"Uzbekistan","9","18","9","0","9","1","2","27","0","0","75"
"Yemen","12","17","7","0","68","2","66","167","0","0","339"
